glomerulus,gh146_gal4,gh146_pn_female,gh146_pn_male,chat_gal4,chat_soma_count,chat_adpn,chat_lpn,chat_vpn,source_images
D,positive,4 (0.7),4 (1),positive,4,4 (0.8),,,s1.png; s2.png
DA1,positive,8 (1.9),10 (1),positive,9,,8 (1.8),1 (0),s1.png; s2.png
DA2,positive,6.5 (1),5 (1.3),positive,5.5,0.5 (1),5 (1.3),,s1.png; s2.png
DA3,negative,,,,,,,,s1.png
DA4l,positive,1 (0),1 (1.2),positive,1,1 (0.8),,,s1.png; s2.png
DA4m,negative,,,,,,,,s1.png
DC1,positive,1 (0.5),1 (0),positive,1,1 (0.4),,,s1.png; s2.png
DC2,positive,2 (0.9),2 (0),positive,2,2 (0.7),,,s1.png; s2.png
DC3,positive,4 (0.45),2 (0.6),positive,3.5,3.5 (0.9),,,s1.png; s2.png
DC4,negative,,,,,,,,s1.png
DL1,positive,3 (0.6),2 (0.6),positive,2.5,2.5 (0.5),,,s1.png; s2.png
DL2d,negative,,,,,,,,s1.png
DL2v,negative,,,,,,,,s1.png
DL3,positive,5 (1.1),6 (1.3),positive,5,,5 (1),,s1.png; s2.png
DL4,positive,1 (0.4),1 (0),positive,1,1 (0.3),,,s1.png; s2.png
DL5,positive,1 (0.6),1 (0),positive,1,1 (0.3),,,s1.png; s2.png
DM1,positive,1 (0),1 (0),positive,1,,1 (0),,s1.png; s2.png
DM2,positive,2 (0),2 (0),positive,2,,2 (0),,s1.png; s2.png
DM3,positive,1 (0),2 (0.8),positive,1,1 (0.7),,,s1.png; s2.png
DM4,positive,1 (0),1 (0),positive,1,1 (0),,,s1.png; s2.png
DM5,positive,2 (0.5),1 (0.6),positive,2,,2 (0.5),,s1.png; s2.png
DM6,positive,3 (0.4),3 (0.5),positive,3,3 (0.4),,,s1.png; s2.png
DP1l,negative,,,,,,,,s1.png
DP1m,positive,1 (0),1 (0),positive,1,1 (0),,,s1.png; s2.png
V,positive,5.5 (0.57)^b,,,,,,,s1.png
VA1d,positive,3 (1),3 (0),positive,3,3 (0.8),,,s1.png; s2.png
VA1v,positive,6 (0.9),5 (1),positive,5,4 (0.8),,1 (0.5),s1_cont.png; s2.png
VA2,positive,1 (0.4),1 (0.5),positive,1,1 (0.4),,,s1_cont.png; s2.png
VA3,positive,2 (0.5),2 (0.5),,,,,,s1_cont.png
VA4,positive,2 (0),1 (0),positive,1,,1 (0.5),,s1_cont.png; s2.png
VA5,positive,2 (0.5),3 (0.75),positive,3,,3 (0.7),,s1_cont.png; s2.png
VA6,positive,1 (0.4),2.5 (1.3),positive,1,1 (1),,,s1_cont.png; s2.png
VA7l,positive,1 (0.5),1 (0),positive,2,2 (1.2),,,s1_cont.png; s2.png
VA7m,positive,3 (0),3 (0.6),positive,2.5,,2.5 (1),,s1_cont.png; s2.png
VC1,positive,1 (0.5),2 (0.5),positive,2,,2 (0.5),,s1_cont.png; s2.png
VC2,positive,1 (0.5),3 (1.5),positive,3,,3 (1.4),,s1_cont.png; s2.png
VC3,negative,,,,,,,,s1_cont.png
VC4,negative,,,,,,,,s1_cont.png
VC5,negative,,,,,,,,s1_cont.png
VL1,negative,,,,,,,,s1_cont.png
VL2a,positive,1 (0)^c,2 (1)^c,positive,1,1 (0.8),,,s1_cont.png; s2.png
VL2p,positive,3 (0),1 (0.5),positive,1,1 (0.4),,,s1_cont.png; s2.png
VM1,positive,2 (0.4),1.5 (1),positive,2,,2 (0.7),,s1_cont.png; s2.png
VM2,positive,3 (0.8),2 (0),positive,2,2 (0.9),,,s1_cont.png; s2.png
VM3,positive,2 (0.5),2 (0.6),positive,2,2 (0.6),,,s1_cont.png; s2.png
VM4,positive,1 (0.5),1 (0.6),positive,1,1 (0.4),,,s1_cont.png; s2.png
VM5d,negative,,,,,,,,s1_cont.png
VM5v,positive,5 (0.5)^b,,, ,,,,s1_cont.png
VM7d,positive,2 (0.8),3 (0.4),positive,3,3 (0.8),,,s1_cont.png; s2.png
VM7v,positive,3 (0.8),2.5 (1),positive,3,3 (0.9),,,s1_cont.png; s2.png
VP1+VM6,negative,,,,,,,,s1_cont.png
VP2,unknown,,,positive,3,,,,s1_cont.png; s2.png
VP3,unknown,,,positive,3,,,,s1_cont.png; s2.png
VP4,negative,,,,,,,,s1_cont.png
