label,vfb_id
ICL,VFB_00102179
ROB,VFB_00102174
GOR,VFB_00102214
SLP,VFB_00102162
RUB,VFB_00102175
CRE,VFB_00102171
SMP,VFB_00102170
SPS,VFB_00102215
CAN,VFB_00102275
SCL,VFB_00102176
SIP,VFB_00102164
IB,VFB_00102185
ATL,VFB_00102190
AL,VFB_00102201
EPA,VFB_00102213
VES,VFB_00102212
LH,VFB_00102159
LO,VFB_00102109
SAD,VFB_00102271
AME,VFB_00102108
PVLP,VFB_00102148
AVLP,VFB_00102146
WED,VFB_00102154
PRW,VFB_00102276
AMMC,VFB_00102273
MB-aL,VFB_00102119
LOP,VFB_00102110
MB-a'L,VFB_00102121
MB-bL,VFB_00102123
ME,VFB_00102107
MB-PED,VFB_00102118
MB-CA,VFB_00102114
NO,VFB_00102282
GA,VFB_00102281
AOTU,VFB_00102141
BU,VFB_00102139
PLP,VFB_00102152
GNG,VFB_00102280
EB,VFB_00102135
LAL,VFB_00102140
PB,VFB_00102137
IPS,VFB_00102218
MB-b'L,VFB_00102124
MB-gL,VFB_00102133
FB,VFB_00102134
FLA,VFB_00102274
